date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 1,1
2012-01-11 | 2147483648
2001-42-42 / 12
12-12-2002 |1
12-12-2002| 1
12-12-2002|1
12-12-2002 | 1.1.1
2011-01-03 | 3a
12-12-2002 | a
2011-01-40 | 3
2011-01-00 | 3
2011-30-10 | 3
2011-00-10 | 3
2000-01-03 | 3
2009-01-01 | 3
2050-01-03 | 3
2009-01-01 | 3
2022-03-30 | 3
2022-09-01 | 3
2022-03-29 | 1
2009-01-02 | 1
2009-01-01 | 1
200-01-01 | 1
20099-01-01 | 1
2012-011-01 | 1
2012-11-001 | 1
2012-11-1 | 1
2012-11--11 | 1
